Entity,Code,Year,Hydropower (terawatt-hours),Solar (terawatt-hours),Wind (terawatt-hours),Other renewables (terawatt-hours)
Argentina,ARG,2006,43.624,0.00009,0.06964,1.567410315
Argentina,ARG,2007,37.741,0.0001089,0.061593,1.575708696
Argentina,ARG,2008,37.199,0.0001437,0.041951078,1.693536384
Argentina,ARG,2009,40.783,0.000076084,0.036831529,1.728756162
Argentina,ARG,2010,40.543,0.00008589,0.025351606,2.01325481
Argentina,ARG,2011,39.641,0.001614,0.02659055,2.190205828
Argentina,ARG,2012,36.876,0.008172967,0.369861999,2.45382161
Argentina,ARG,2013,40.7,0.015074079,0.453354876,2.45735005
Argentina,ARG,2014,40.864,0.015944,0.619491,2.302025252
Argentina,ARG,2015,41.7709,0.014683,0.593334963,2.378258598
Argentina,ARG,2016,38.25439327,0.014273,0.547359,1.963408643
Argentina,ARG,2017,41.54297858,0.016417,0.611567,2.383654508
Argentina,ARG,2018,41.64945459,0.108128528,1.412699784,2.29693941
Asia Pacific,,1965,150.5575963,0,0,1.644
Asia Pacific,,1966,163.3877813,0,0,1.643
Asia Pacific,,1967,154.0227975,0,0,1.424
Asia Pacific,,1968,164.4468621,0,0,1.577
Asia Pacific,,1969,175.3833213,0,0,1.608
Asia Pacific,,1970,179.1186721,0,0,1.776704
Asia Pacific,,1971,194.6919119,0,0,1.754611
Asia Pacific,,1972,203.6090225,0,0,1.785591
Asia Pacific,,1973,197.1790323,0,0,1.834998
Asia Pacific,,1974,215.1633642,0,0,2.496269105
Asia Pacific,,1975,229.4817131,0,0,2.654334368
Asia Pacific,,1976,232.7120742,0,0,2.587064579
Asia Pacific,,1977,225.8236473,0,0,2.622443474
Asia Pacific,,1978,235.1167425,0,0,2.917471368
Asia Pacific,,1979,255.1727537,0,0,3.712920421
Asia Pacific,,1980,271.6225906,0,0,5.173433158
Asia Pacific,,1981,288.8969017,0,0,7.071965421
Asia Pacific,,1982,279.799085,0,0,15.95189426
Asia Pacific,,1983,300.6471275,0,0,18.06780642
Asia Pacific,,1984,297.1641353,0,0,19.74213742
Asia Pacific,,1985,320.0130242,0,0,20.79148682
Asia Pacific,,1986,328.1258904,0,0,21.68988971
Asia Pacific,,1987,326.8457274,0,0,22.00974974
Asia Pacific,,1988,361.7550222,0,0,23.82670437
Asia Pacific,,1989,387.9415512,0,0,25.92936279
Asia Pacific,,1990,401.670607,0.004,0.032323232,21.94773818
Asia Pacific,,1991,413.5662257,0.00945,0.122000909,22.40252374
Asia Pacific,,1992,403.9596354,0.0276,0.22047404,22.56911516
Asia Pacific,,1993,443.311061,0.0431,0.311836667,22.51843108
Asia Pacific,,1994,446.1145361,0.0534,0.583588081,25.9677874
Asia Pacific,,1995,486.7277748,0.070660101,1.121601313,30.36785051
Asia Pacific,,1996,476.744038,0.098160606,0.991205066,30.84332308
Asia Pacific,,1997,479.22672,0.147015452,1.213950041,34.87781114
Asia Pacific,,1998,510.2994928,0.202918856,1.489550167,37.53508223
Asia Pacific,,1999,502.8669571,0.286266606,2.053249006,41.21565303
Asia Pacific,,2000,524.4334287,0.428429426,2.56397698,44.06817879
Asia Pacific,,2001,573.088155,0.608465426,3.517432418,44.63994787
Asia Pacific,,2002,580.68228,0.829254425,4.067036232,46.59688348
Asia Pacific,,2003,595.3133997,1.116542608,5.340847638,48.73792753
Asia Pacific,,2004,683.7196615,1.464055013,9.186654307,52.32511766
Asia Pacific,,2005,727.4188056,1.852813527,12.01917866,60.45249942
Asia Pacific,,2006,800.6490449,2.29127578,18.56975203,64.75126792
Asia Pacific,,2007,852.3022156,2.748580976,24.60312478,71.3383643
Asia Pacific,,2008,996.6766673,3.330602555,36.08948793,79.18696054
Asia Pacific,,2009,965.8444154,4.383497988,54.84258862,88.34787395
Asia Pacific,,2010,1094.879108,6.738748497,76.7212709,98.05388604
Asia Pacific,,2011,1115.873126,12.15439924,109.8027872,104.8204931
Asia Pacific,,2012,1279.091747,17.5830281,140.7285319,114.3123926
Asia Pacific,,2013,1365.03665,32.33890709,191.5194002,126.101182
Asia Pacific,,2014,1510.900778,62.87474908,210.6825434,144.2722126
Asia Pacific,,2015,1565.088356,99.19372578,243.1621554,161.5483912
Asia Pacific,,2016,1626.950731,141.7552294,307.2584778,172.6285952
Asia Pacific,,2017,1649.447194,227.1966379,376.7400265,192.6455598
Asia Pacific,,2018,1718.508325,314.2085529,460.469456,221.3015173
Australia,AUS,1965,7.689756,0,0,0.296
Australia,AUS,1966,7.3450428,0,0,0.284
Australia,AUS,1967,7.6057874,0,0,0.29
Australia,AUS,1968,7.9505006,0,0,0.282
Australia,AUS,1969,8.684121,0,0,0.281
Australia,AUS,1970,10.170687,0,0,0.261
Australia,AUS,1971,11.5074428,0,0,0.263
Australia,AUS,1972,11.5533144,0,0,0.28
Australia,AUS,1973,12.2858392,0,0,0.338
Australia,AUS,1974,13.8739202,0,0,0.429
Australia,AUS,1975,14.8878016,0,0,0.489
Australia,AUS,1976,14.1538588,0,0,0.484
Australia,AUS,1977,13.5439502,0,0,0.429
Australia,AUS,1978,14.6753494,0,0,0.405
Australia,AUS,1979,14.2460556,0,0,0.418
Australia,AUS,1980,13.4665978,0,0,0.385
Australia,AUS,1981,13.8663438,0,0,0.404
Australia,AUS,1982,12.770334,0,0,0.516
Australia,AUS,1983,12.123648,0,0,0.431
Australia,AUS,1984,13.1259488,0,0,0.441
Australia,AUS,1985,13.9405106,0,0,0.456
Australia,AUS,1986,14.0257988,0,0,0.46
Australia,AUS,1987,13.613796,0,0,0.47
Australia,AUS,1988,14.3344436,0,0,0.731
Australia,AUS,1989,14.253669,0,0,0.81
Australia,AUS,1990,14.7595,0,0,0.7595
Australia,AUS,1991,15.6535,0.00545,0,0.7195
Australia,AUS,1992,15.9415,0.0121,0,0.67
Australia,AUS,1993,16.387,0.0146,0.002,0.67
Australia,AUS,1994,16.15,0.0174,0.0055,0.6965
Australia,AUS,1995,15.631,0.02115,0.007,0.8255
Australia,AUS,1996,15.9685,0.0256,0.007,0.9465
Australia,AUS,1997,15.9525,0.03065,0.0075,0.997
Australia,AUS,1998,15.798,0.0356,0.018,1.081
Australia,AUS,1999,16.2815,0.0406,0.043,1.1335
Australia,AUS,2000,16.4665,0.04675,0.134,0.8895
Australia,AUS,2001,16.1235,0.05415,0.287,0.7975
Australia,AUS,2002,16.095,0.0583,0.53355,1.2668
Australia,AUS,2003,16.21055,0.0632,0.70405,1.6918
Australia,AUS,2004,15.68665,0.07295,0.795,2.81525
Australia,AUS,2005,15.4657,0.08405,1.29905,3.871
Australia,AUS,2006,14.9451,0.0975,2.1621,3.9325
Australia,AUS,2007,13.04895,0.11375,2.8521,4.275
Australia,AUS,2008,11.81515,0.1392,3.45845,3.6961
Australia,AUS,2009,12.64205,0.29024203,4.43775,2.7868
Australia,AUS,2010,13.746,0.97764828,4.985,2.44155
Australia,AUS,2011,19.634,2.04454657,6.432,2.57395
Australia,AUS,2012,17.083,2.412,7.725,3.09785
Australia,AUS,2013,19.144,3.8474,9.259,3.33165
Australia,AUS,2014,14.532,4.952,9.777,3.546362
Australia,AUS,2015,13.949,5.958,11.802,3.6914715
Australia,AUS,2016,17.683967,7.474595,13.026391,3.648006
Australia,AUS,2017,13.534527,8.95511,13.19393,3.543324
Australia,AUS,2018,17.26791,12.081099,16.266484,3.539346
Austria,AUT,1965,16.083,0,0,0
Austria,AUT,1966,17.331,0,0,0
Austria,AUT,1967,17.698,0,0,0
Austria,AUT,1968,18.185,0,0,0
Austria,AUT,1969,16.718,0,0,0
Austria,AUT,1970,21.2897,0,0,0
Austria,AUT,1971,16.8201,0,0,0
Austria,AUT,1972,17.2876,0,0,0
Austria,AUT,1973,19.2092,0,0,0
Austria,AUT,1974,22.7122,0,0,0
Austria,AUT,1975,23.7952,0,0,0
Austria,AUT,1976,20.5656,0,0,0
Austria,AUT,1977,24.9208,0,0,0
Austria,AUT,1978,24.9408,0,0,0
Austria,AUT,1979,28.0968,0,0,0
Austria,AUT,1980,29.1099,0,0,0
Austria,AUT,1981,30.8473,0,0,0
Austria,AUT,1982,30.8963,0,0,0
Austria,AUT,1983,30.6063,0,0,0
Austria,AUT,1984,26.849564,0,0,0
Austria,AUT,1985,30.775146,0,0,0
Austria,AUT,1986,30.903927,0,0,1.287501
Austria,AUT,1987,35.387991,0,0,0.905816
Austria,AUT,1988,35.304088,0,0,1.04696
Austria,AUT,1989,35.08243,0,0,1.10445
Austria,AUT,1990,31.509,0,0,1.142485
Austria,AUT,1991,31.4434,0,0,1.225832
Austria,AUT,1992,34.8484,0,0,1.329164
Austria,AUT,1993,36.705556,0.001,0,1.361111
Austria,AUT,1994,35.7075,0.001,0,1.210555
Austria,AUT,1995,37.067222,0.001,0.001,1.857221
Austria,AUT,1996,34.216111,0.001,0.005,1.589444
Austria,AUT,1997,36.105278,0.002,0.02,1.711389
Austria,AUT,1998,37.163333,0.002,0.045,1.842777
Austria,AUT,1999,40.6991208,0.002,0.051,1.596911819
Austria,AUT,2000,41.83565055,0.003,0.067,1.52827932
Austria,AUT,2001,40.45548165,0.005,0.172,1.667812
Austria,AUT,2002,40.22700281,0.009,0.203,1.520444
Austria,AUT,2003,33.21499204,0.015,0.366,1.711921
Austria,AUT,2004,36.762283,0.018,0.924,2.05973
Austria,AUT,2005,37.09513834,0.021018375,1.331276757,2.437154339
Austria,AUT,2006,35.65608477,0.022386875,1.752792984,3.237502556
Austria,AUT,2007,37.05445286,0.024238375,2.037184927,4.061606911
Austria,AUT,2008,38.32949104,0.03011991,2.011257409,4.302304141
Austria,AUT,2009,40.89630336,0.04891428,1.954040168,4.277982167
Austria,AUT,2010,38.36341829,0.08881314,2.063913736,4.463430081
Austria,AUT,2011,34.23908351,0.17406996,1.93623636,4.516752009
Austria,AUT,2012,43.80410469,0.33748305,2.462029019,4.608036501
Austria,AUT,2013,42.0465273,0.625974,3.153231562,4.584281709
Austria,AUT,2014,41.01025937,0.785246,3.845768035,4.336296196
Austria,AUT,2015,37.05552838,0.937098,4.840343102,4.503546527
Austria,AUT,2016,39.84471615,1.096016,5.232348765,4.691227039
Austria,AUT,2017,38.369829,1.268971,6.574498956,4.640932433
Austria,AUT,2018,37.52781287,1.578641473,5.900014713,4.763252129
Azerbaijan,AZE,1985,1.3125618,0,0,0
Azerbaijan,AZE,1986,0.8043308,0,0,0
Azerbaijan,AZE,1987,0.8043308,0,0,0
Azerbaijan,AZE,1988,0.6982652,0,0,0
Azerbaijan,AZE,1989,0.6982652,0,0,0
Azerbaijan,AZE,1990,1.658,0,0,0
Azerbaijan,AZE,1991,1.7593,0,0,0
Azerbaijan,AZE,1992,1.7473,0,0,0
Azerbaijan,AZE,1993,2.426,0,0,0
Azerbaijan,AZE,1994,1.83,0,0,0
Azerbaijan,AZE,1995,1.556,0,0,0
Azerbaijan,AZE,1996,1.537,0,0,0
Azerbaijan,AZE,1997,1.712,0,0,0
Azerbaijan,AZE,1998,1.951,0,0,0
Azerbaijan,AZE,1999,1.506,0,0,0
Azerbaijan,AZE,2000,1.534,0,0,0
Azerbaijan,AZE,2001,1.301,0,0,0
Azerbaijan,AZE,2002,2.02,0,0,0
Azerbaijan,AZE,2003,2.47,0,0,0
Azerbaijan,AZE,2004,2.755,0,0,0
Azerbaijan,AZE,2005,3.0094,0,0,0
Azerbaijan,AZE,2006,2.518,0,0,0
Azerbaijan,AZE,2007,2.364,0,0,0
Azerbaijan,AZE,2008,2.232,0,0,0
Azerbaijan,AZE,2009,2.3084,0,0.0021,0
Azerbaijan,AZE,2010,3.4463,0,0.0005,0
Azerbaijan,AZE,2011,2.6758,0,0,0
Azerbaijan,AZE,2012,1.821,0,0,0
Azerbaijan,AZE,2013,1.4891,0.0008,0.0008,0.067
Azerbaijan,AZE,2014,1.2997,0.0029,0.0023,0.087
Azerbaijan,AZE,2015,1.6375,0.0046,0.0046,0.0909
Azerbaijan,AZE,2016,1.9593,0.0353,0.0228,0.08725
Azerbaijan,AZE,2017,1.7464,0.0372,0.0221,0.08515
Azerbaijan,AZE,2018,1.76795,0.03926,0.0822,0.0811
Bangladesh,BGD,1965,0,0,0,0
Bangladesh,BGD,1966,0,0,0,0
Bangladesh,BGD,1967,0,0,0,0
Bangladesh,BGD,1968,0,0,0,0
Bangladesh,BGD,1969,0,0,0,0
Bangladesh,BGD,1970,0,0,0,0
Bangladesh,BGD,1971,0,0,0,0
Bangladesh,BGD,1972,0.175,0,0,0
Bangladesh,BGD,1973,0.331,0,0,0
Bangladesh,BGD,1974,0.243,0,0,0
Bangladesh,BGD,1975,0.436,0,0,0
Bangladesh,BGD,1976,0.494,0,0,0
Bangladesh,BGD,1977,0.437,0,0,0
Bangladesh,BGD,1978,0.506,0,0,0
Bangladesh,BGD,1979,0.587,0,0,0
Bangladesh,BGD,1980,0.583,0,0,0
Bangladesh,BGD,1981,0.625,0,0,0
Bangladesh,BGD,1982,0.523,0,0,0
Bangladesh,BGD,1983,0.662,0,0,0
Bangladesh,BGD,1984,0.897,0,0,0
Bangladesh,BGD,1985,0.739,0,0,0
Bangladesh,BGD,1986,0.45,0,0,0
Bangladesh,BGD,1987,0.517,0,0,0
Bangladesh,BGD,1988,0.675,0,0,0
Bangladesh,BGD,1989,0.92,0,0,0
Bangladesh,BGD,1990,0.884,0,0,0
Bangladesh,BGD,1991,0.838,0,0,0
Bangladesh,BGD,1992,0.796,0,0,0
Bangladesh,BGD,1993,0.608,0,0,0
Bangladesh,BGD,1994,0.847,0,0,0
Bangladesh,BGD,1995,0.372,0,0,0
Bangladesh,BGD,1996,0.739,0,0,0
Bangladesh,BGD,1997,0.719,0,0,0
Bangladesh,BGD,1998,0.865,0,0,0
Bangladesh,BGD,1999,0.833,0,0,0
Bangladesh,BGD,2000,0.749,0,0,0
Bangladesh,BGD,2001,0.993,0,0,0
Bangladesh,BGD,2002,0.749,0.0001,0,0
Bangladesh,BGD,2003,0.749,0.0009,0,0
Bangladesh,BGD,2004,0.749,0.0019,0,0
Bangladesh,BGD,2005,0.749,0.0034,0,0
Bangladesh,BGD,2006,0.749,0.0054,0.0016,0
Bangladesh,BGD,2007,0.749,0.009,0.0016,0
Bangladesh,BGD,2008,0.95,0.0152,0.0029,0
Bangladesh,BGD,2009,0.417,0.0251,0.0051,0.001
Bangladesh,BGD,2010,0.729,0.0443,0.0051,0.002
Bangladesh,BGD,2011,0.872,0.0584,0.0051,0.003
Bangladesh,BGD,2012,0.777,0.0909,0.0051,0.004
Bangladesh,BGD,2013,0.728378728,0.1296,0.0051,0.005
Bangladesh,BGD,2014,0.566453438,0.1676,0.0051,0.006
Bangladesh,BGD,2015,0.898146455,0.2044,0.0051,0.0071
Bangladesh,BGD,2016,0.884632595,0.2243,0.0051,0.0077
Bangladesh,BGD,2017,1.029528088,0.265005663,0.005086066,0.008019927
Bangladesh,BGD,2018,0.885632595,0.299208359,0.005086066,0.008019927
Belarus,BLR,1985,0.02,0,0,0
Belarus,BLR,1986,0.02,0,0,0
Belarus,BLR,1987,0.02,0,0,0
Belarus,BLR,1988,0.02,0,0,0
Belarus,BLR,1989,0.02,0,0,0
Belarus,BLR,1990,0.02,0,0,0
Belarus,BLR,1991,0.018,0,0,0
Belarus,BLR,1992,0.017,0,0,0
Belarus,BLR,1993,0.019,0,0,0
Belarus,BLR,1994,0.019,0,0,0
Belarus,BLR,1995,0.02,0,0,0
Belarus,BLR,1996,0.016,0,0,0
Belarus,BLR,1997,0.021,0,0,0
Belarus,BLR,1998,0.028,0,0,0
Belarus,BLR,1999,0.019,0,0,0
Belarus,BLR,2000,0.027,0,0,0
Belarus,BLR,2001,0.03,0,0,0
Belarus,BLR,2002,0.029,0,0,0
Belarus,BLR,2003,0.028,0,0,0
Belarus,BLR,2004,0.033,0,0.001010101,0
Belarus,BLR,2005,0.036,0,0.001,0
Belarus,BLR,2006,0.035,0,0.001,0.002
Belarus,BLR,2007,0.035,0,0.001,0.014
Belarus,BLR,2008,0.039,0,0.001,0.033
Belarus,BLR,2009,0.045,0,0.001,0.06
Belarus,BLR,2010,0.045,0,0.001,0.084
Belarus,BLR,2011,0.042,0,0.004,0.095
Belarus,BLR,2012,0.072,0,0.006,0.095
Belarus,BLR,2013,0.138,0.0004,0.008,0.082
Belarus,BLR,2014,0.121,0.002,0.009,0.079
Belarus,BLR,2015,0.111,0.009,0.039,0.094
Belarus,BLR,2016,0.142,0.026,0.073,0.094
Belarus,BLR,2017,0.405,0.089,0.097,0.106
Belarus,BLR,2018,0.45726487,0.134485968,0.117978175,0.109149431
Belgium,BEL,1965,0.272,0,0,0
Belgium,BEL,1966,0.299,0,0,0
Belgium,BEL,1967,0.238,0,0,0
Belgium,BEL,1968,0.244,0,0,0
Belgium,BEL,1969,0.23,0,0,0
Belgium,BEL,1970,0.246,0,0,0
Belgium,BEL,1971,0.134,0,0,0
Belgium,BEL,1972,0.18,0,0,0
Belgium,BEL,1973,0.171,0,0,0.116
Belgium,BEL,1974,0.24,0,0,0.108
Belgium,BEL,1975,0.183,0,0,0.083
Belgium,BEL,1976,0.109,0,0,0.057
Belgium,BEL,1977,0.224,0,0,0.247
Belgium,BEL,1978,0.223,0,0,0.26
Belgium,BEL,1979,0.234,0,0,0.315
Belgium,BEL,1980,0.278,0,0,0.3
Belgium,BEL,1981,0.381,0,0,0.291
Belgium,BEL,1982,0.333,0,0,0.046
Belgium,BEL,1983,0.336,0,0,0.022
Belgium,BEL,1984,0.351,0,0,0.024
Belgium,BEL,1985,0.287,0,0,0.053
Belgium,BEL,1986,0.343,0,0,0.119
Belgium,BEL,1987,0.429,0,0.006,0.142
Belgium,BEL,1988,0.359,0,0.008,0.18
Belgium,BEL,1989,0.305,0,0.007,0.191
Belgium,BEL,1990,0.266,0,0.007,0.282
Belgium,BEL,1991,0.229,0,0.008,0.299
Belgium,BEL,1992,0.341,0,0.009,0.267
Belgium,BEL,1993,0.254,0,0.008,0.245
Belgium,BEL,1994,0.346,0,0.009,0.245
Belgium,BEL,1995,0.338,0,0.009,0.321
Belgium,BEL,1996,0.239,0,0.008,0.314
Belgium,BEL,1997,0.305,0,0.008,0.275
Belgium,BEL,1998,0.389,0,0.011,0.359
Belgium,BEL,1999,0.341,0,0.013,0.496
Belgium,BEL,2000,0.46,0,0.016,0.568
Belgium,BEL,2001,0.441,0,0.037,0.597
Belgium,BEL,2002,0.36,0,0.057,0.721
Belgium,BEL,2003,0.247,0,0.088,0.857
Belgium,BEL,2004,0.317,0.001,0.142,1.037
Belgium,BEL,2005,0.288,0.001,0.227,1.59
Belgium,BEL,2006,0.359,0.002,0.366,2.225
Belgium,BEL,2007,0.389,0.006,0.491,2.6
Belgium,BEL,2008,0.41,0.042,0.637,3.329
Belgium,BEL,2009,0.328,0.166,0.996,3.949
Belgium,BEL,2010,0.312,0.56,1.292,4.33
Belgium,BEL,2011,0.196,1.169,2.312,4.7
Belgium,BEL,2012,0.357,2.148,2.751,5.202
Belgium,BEL,2013,0.38,2.644,3.665,4.98362
Belgium,BEL,2014,0.292,2.883,4.615,4.424511
Belgium,BEL,2015,0.318,3.053,5.574,5.508017
Belgium,BEL,2016,0.37,3.092,5.437,5.437
Belgium,BEL,2017,0.2701,3.2876,6.5106,5.7625
Belgium,BEL,2018,0.284810423,3.971724224,7.468573702,5.427544126
Brazil,BRA,1965,23.975245,0,0,0
Brazil,BRA,1966,26.2247196,0,0,0
Brazil,BRA,1967,27.4312158,0,0,0
Brazil,BRA,1968,28.7084224,0,0,0
Brazil,BRA,1969,30.7236688,0,0,0
Brazil,BRA,1970,39.801,0,0,0.5146915
Brazil,BRA,1971,43.199,0,0,0.63339525
Brazil,BRA,1972,50.681,0,0,0.716570188
Brazil,BRA,1973,57.89,0,0,0.750800375
Brazil,BRA,1974,65.679,0,0,0.7851518
Brazil,BRA,1975,72.287,0,0,0.867177575
Brazil,BRA,1976,82.913,0,0,0.864337725
Brazil,BRA,1977,93.48,0,0,1.116845463
Brazil,BRA,1978,102.746,0,0,1.331944075
Brazil,BRA,1979,116.58,0,0,1.7760194
